"","location_type","offence","occurrencehour","occurrenceday","occurrencedayofweek","Neighbourhood"
"100","Ttc Subway Train","Robbery - Mugging",6,17,"Friday","Rosedale-Moore Park"
"101","Homeless Shelter / Mission","Robbery With Weapon",16,17,"Friday","Niagara"
"102","Apartment (Rooming House, Condo)","Robbery With Weapon",0,18,"Saturday","Willowdale East"
"103","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery With Weapon",21,17,"Friday","York University Heights"
"104","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Business",11,18,"Saturday","Woburn"
"105","Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)","Robbery - Vehicle Jacking",8,18,"Saturday","Ionview"
"106","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery With Weapon",18,18,"Saturday","Annex"
"107","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery With Weapon",18,18,"Saturday","Annex"
"108","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Mugging",22,18,"Saturday","Rosedale-Moore Park"
"109","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery With Weapon",6,19,"Sunday","Old East York"
"110","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Mugging",10,13,"Saturday","NSA"
"111","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Other",17,19,"Sunday","Bay Street Corridor"
"112","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Business",8,20,"Monday","Church-Yonge Corridor"
"113","Convenience Stores","Robbery - Business",9,20,"Monday","West Humber-Clairville"
"114","Parking Lots (Apt., Commercial Or Non-Commercial)","Robbery - Other",10,20,"Monday","Islington-City Centre West"
"115","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Business",16,20,"Monday","Little Portugal"
"116","Pharmacy","Robbery - Business",18,20,"Monday","Bathurst Manor"
"117","Pharmacy","Robbery - Business",18,20,"Monday","Yorkdale-Glen Park"
"118","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Mugging",20,20,"Monday","Willowdale West"
"119","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery With Weapon",23,20,"Monday","Waterfront Communities-The Island"
"120","Parking Lots (Apt., Commercial Or Non-Commercial)","Robbery - Vehicle Jacking",4,21,"Tuesday","Willowdale West"
"121","Parking Lots (Apt., Commercial Or Non-Commercial)","Robbery - Vehicle Jacking",4,21,"Tuesday","Willowdale West"
"122","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery With Weapon",12,17,"Friday","Briar Hill-Belgravia"
"123","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Delivery Person",13,21,"Tuesday","Roncesvalles"
"124","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Business",15,21,"Tuesday","Bendale"
"125","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Other",15,21,"Tuesday","Bendale"
"126","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Business",14,21,"Tuesday","Waterfront Communities-The Island"
"127","Pharmacy","Robbery - Business",15,21,"Tuesday","Tam OShanter-Sullivan"
"128","Pharmacy","Robbery - Business",15,21,"Tuesday","Tam OShanter-Sullivan"
"129","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Swarming",20,21,"Tuesday","Old East York"
"130","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Other",11,22,"Wednesday","Waterfront Communities-The Island"
"131","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Other",13,22,"Wednesday","Dorset Park"
"132","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Business",16,22,"Wednesday","Dufferin Grove"
"133","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Mugging",18,22,"Wednesday","Mount Pleasant West"
"134","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Other",18,22,"Wednesday","Briar Hill-Belgravia"
"135","Single Home, House (Attach Garage, Cottage, Mobile)","Robbery - Home Invasion",19,22,"Wednesday","Malvern"
"136","Single Home, House (Attach Garage, Cottage, Mobile)","Robbery - Home Invasion",19,22,"Wednesday","Malvern"
"137","Single Home, House (Attach Garage, Cottage, Mobile)","Robbery - Home Invasion",19,22,"Wednesday","Malvern"
"138","Parking Lots (Apt., Commercial Or Non-Commercial)","Robbery With Weapon",2,23,"Thursday","Rockcliffe-Smythe"
"139","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery With Weapon",12,23,"Thursday","South Parkdale"
"140","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Business",12,23,"Thursday","South Parkdale"
"141","Pharmacy","Robbery - Business",14,23,"Thursday","Dovercourt-Wallace Emerson-Junction"
"142","Parking Lots (Apt., Commercial Or Non-Commercial)","Robbery - Other",19,23,"Thursday","Milliken"
"143","Single Home, House (Attach Garage, Cottage, Mobile)","Robbery - Vehicle Jacking",17,23,"Thursday","St.Andrew-Windfields"
"144","Ttc Subway Station","Robbery - Purse Snatch",23,23,"Thursday","Bridle Path-Sunnybrook-York Mills"
"145","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Other",16,23,"Thursday","Church-Yonge Corridor"
"146","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Other",19,23,"Thursday","Annex"
"147","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Other",19,23,"Thursday","Annex"
"148","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Other",19,23,"Thursday","Annex"
"149","Apartment (Rooming House, Condo)","Robbery - Mugging",18,23,"Thursday","Rockcliffe-Smythe"
"150","Bank And Other Financial Institutions (Money Mart, Tsx)","Robbery - Financial Institute",14,24,"Friday","Yorkdale-Glen Park"
"151","Convenience Stores","Robbery - Business",19,25,"Saturday","Blake-Jones"
"152","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Mugging",21,25,"Saturday","Moss Park"
"153","Parking Lots (Apt., Commercial Or Non-Commercial)","Robbery - Vehicle Jacking",23,25,"Saturday","Willowdale East"
"154","Convenience Stores","Robbery - Business",0,26,"Sunday","West Humber-Clairville"
"155","Parking Lots (Apt., Commercial Or Non-Commercial)","Robbery - Other",19,26,"Sunday","Milliken"
"156","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Mugging",22,26,"Sunday","Playter Estates-Danforth"
"157","Pharmacy","Robbery With Weapon",12,27,"Monday","Kennedy Park"
"158","Pharmacy","Robbery With Weapon",12,27,"Monday","Kennedy Park"
"159","Pharmacy","Robbery With Weapon",12,27,"Monday","Kennedy Park"
"160","Pharmacy","Robbery - Business",12,27,"Monday","Kennedy Park"
"161","Parking Lots (Apt., Commercial Or Non-Commercial)","Robbery - Mugging",13,25,"Saturday","Thistletown-Beaumond Heights"
"162","Pharmacy","Robbery - Business",18,27,"Monday","Kennedy Park"
"163","Pharmacy","Robbery - Business",18,27,"Monday","Kennedy Park"
"164","Convenience Stores","Robbery - Business",19,27,"Monday","Dorset Park"
"165","Apartment (Rooming House, Condo)","Robbery With Weapon",20,27,"Monday","West Hill"
"166","Single Home, House (Attach Garage, Cottage, Mobile)","Robbery With Weapon",21,27,"Monday","Bridle Path-Sunnybrook-York Mills"
"167","Single Home, House (Attach Garage, Cottage, Mobile)","Robbery With Weapon",21,27,"Monday","Bridle Path-Sunnybrook-York Mills"
"168","Single Home, House (Attach Garage, Cottage, Mobile)","Robbery - Vehicle Jacking",21,27,"Monday","Bridle Path-Sunnybrook-York Mills"
"169","Ttc Subway Station","Robbery - Mugging",20,27,"Monday","Church-Yonge Corridor"
"170","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Mugging",21,27,"Monday","Markland Wood"
"171","Gas Station (Self, Full, Attached Convenience)","Robbery - Vehicle Jacking",9,28,"Tuesday","West Humber-Clairville"
"172","Parking Lots (Apt., Commercial Or Non-Commercial)","Robbery With Weapon",16,28,"Tuesday","Morningside"
"173","Parking Lots (Apt., Commercial Or Non-Commercial)","Robbery With Weapon",16,28,"Tuesday","Morningside"
"174","Apartment (Rooming House, Condo)","Robbery - Mugging",17,28,"Tuesday","Bendale"
"175","Open Areas (Lakes, Parks, Rivers)","Robbery - Mugging",18,28,"Tuesday","Willowdale East"
"176","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Mugging",19,28,"Tuesday","Highland Creek"
"177","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Vehicle Jacking",0,29,"Wednesday","Banbury-Don Mills"
"178","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Other",8,29,"Wednesday","Mount Dennis"
"179","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Business",14,29,"Wednesday","Church-Yonge Corridor"
"180","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Business",14,29,"Wednesday","Church-Yonge Corridor"
"181","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Business",14,29,"Wednesday","Church-Yonge Corridor"
"182","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Business",14,29,"Wednesday","Church-Yonge Corridor"
"183","Bank And Other Financial Institutions (Money Mart, Tsx)","Robbery - Financial Institute",14,29,"Wednesday","Yorkdale-Glen Park"
"184","Pharmacy","Robbery - Business",17,29,"Wednesday","Bedford Park-Nortown"
"185","Pharmacy","Robbery - Business",17,29,"Wednesday","Bedford Park-Nortown"
"186","Gas Station (Self, Full, Attached Convenience)","Robbery With Weapon",1,30,"Thursday","Humber Summit"
"187","Convenience Stores","Robbery - Business",7,30,"Thursday","West Humber-Clairville"
"188","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Purse Snatch",12,30,"Thursday","Cliffcrest"
"189","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Mugging",12,30,"Thursday","Cliffcrest"
"190","Gas Station (Self, Full, Attached Convenience)","Robbery - Business",14,30,"Thursday","West Hill"
"191","Single Home, House (Attach Garage, Cottage, Mobile)","Robbery With Weapon",18,22,"Wednesday","North Riverdale"
"192","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Mugging",21,30,"Thursday","Markland Wood"
"193","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Other",4,31,"Friday","Church-Yonge Corridor"
"194","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Other",9,31,"Friday","Moss Park"
"195","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Other",9,31,"Friday","Moss Park"
"196","Single Home, House (Attach Garage, Cottage, Mobile)","Robbery - Other",22,28,"Tuesday","NSA"
"197","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Business",20,30,"Thursday","Islington-City Centre West"
"198","Apartment (Rooming House, Condo)","Robbery - Swarming",18,31,"Friday","West Hill"
"199","Parking Lots (Apt., Commercial Or Non-Commercial)","Robbery - Vehicle Jacking",19,31,"Friday","Brookhaven-Amesbury"
"200","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Other",22,31,"Friday","Greenwood-Coxwell"
